day_type,N,k,morans_I,p_value,x_mean,x_std
wd,250,8,0.5371854957108134,0.001,5.323346153846154,7.027391920593393
fri,250,8,0.5224812527849984,0.001,5.813461538461538,7.803179872607087
we,250,8,0.5358714646534211,0.001,5.250857142857143,6.953344332470217
